log_score,is_anomaly
-82.06579950651506,False
-82.98433691963798,False
-82.98433691963798,False
-82.06579950651506,False
-82.98433691963798,False
-82.98433691963798,False
-82.06579950651506,False
-81.31039962458071,False
-80.39186221145779,False
-81.31039962458071,False
-80.39186221145779,False
-80.39186221145779,False
-80.39186221145779,False
-80.39186221145779,False
-80.39186221145779,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-80.39186221145779,False
-80.39186221145779,False
-80.39186221145779,False
-80.39186221145779,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-80.39186221145779,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-80.39186221145779,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-81.31039962458071,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-230.71078869477097,False
-229.79225128164808,False
-229.79225128164808,False
-230.71078869477097,False
-229.79225128164808,False
-229.79225128164808,False
-230.71078869477097,False
-229.79225128164808,False
-230.71078869477097,False
-230.71078869477097,False
-229.79225128164808,False
-230.71078869477097,False
-230.10693661430668,False
-230.71078869477097,False
